hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap
Ponte della delizia casello c.b.c.m.;Ariis;18639.625008053154;33;13;46.997962951660156;33.997962951660156
Ponte della delizia;Ariis;17616.0061971398;17;13;43.79997634887695;30.799976348876953
Varmo casello idraulico c.b.b.f.;Ariis;8508.177178359801;29;13;13.007050514221191;0.007050514221191406
Madrisio ponte sul tagliamento;Ariis;9168.722011373227;26;13;11.814027786254883;1.1859722137451172
Latisana;Ariis;13789.404743037918;6;13;5.5133056640625;7.4866943359375
Latisana scala;Ariis;13843.950097784693;12;13;5.5133056640625;7.4866943359375
Casali grinta;Ariis;7446.989576194207;11;13;6.3910627365112305;6.6089372634887695
San vito al tagliamento ospedale;Ariis;18700.731250756966;29;13;27.80974006652832;14.80974006652832
San vito al tagliamento cimitero;Ariis;17925.677116526396;30;13;32.09159469604492;19.091594696044922
Stalis;Ariis;17978.538213867127;4;13;10.510129928588867;2.489870071411133
Biauzzo;Ariis;15142.131850673251;7;13;44.248985290527344;31.248985290527344
Codroipo centro;Ariis;12787.259671245272;13;13;37.96499252319336;24.96499252319336
Campomolle;Ariis;5893.542270700077;10;13;7.805864334106445;5.194135665893555
Teor;Ariis;4538.5971054178935;5;13;7.206847667694092;5.793152332305908
Flambruzzo;Ariis;1896.1137298643132;9;13;11.445226669311523;1.5547733306884766
Flambruzzo villa badoglio;Ariis;1721.382253514576;22;13;11.445226669311523;1.5547733306884766
Case zoncolan;Ariis;537.9607969272827;13;13;10.054102897644043;2.945897102355957
Ariis;Ariis;661.8789717649347;0;13;10.054102897644043;2.945897102355957
Ariis cimitero;Ariis;1000.4652760474064;9;13;9.479960441589355;3.5200395584106445
Ariis parco;Ariis;846.0585947370906;6;13;10.054102897644043;2.945897102355957
Ariis centro e.t.p.;Ariis;882.0005662971237;14;13;10.054102897644043;2.945897102355957
Casali sacile;Ariis;1786.1547353597236;11;13;7.9696431159973145;5.0303568840026855
Casali petazzo;Ariis;1624.5371641171605;13;13;7.9478759765625;5.0521240234375
Pocenia;Ariis;4671.38548163081;6;13;5.05306339263916;7.94693660736084
Case trevisan;Ariis;7257.573521703083;10;13;2.4833574295043945;10.516642570495605
Casali gambellini;Ariis;3586.474855841303;15;13;5.7831902503967285;7.2168097496032715
Latisana crosere;Ariis;11495.989774333933;14;13;1.522046685218811;11.477953314781189
Rivarotta;Ariis;6600.430060017143;8;13;2.0823349952697754;10.917665004730225
Precenicco;Ariis;10177.220568698827;8;13;1;12
Pocenia zona industriale;Ariis;5331.297509830628;21;13;5.951496601104736;7.048503398895264
Palazzolo dello stella;Ariis;8431.906092144141;21;13;1.3652523756027222;11.634747624397278
Casa di guardia;Ariis;2887.665849086528;13;13;17.048948287963867;4.048948287963867
Codroipo;Ariis;12685.609425478846;6;13;42.48942565917969;29.489425659179688
Zompicchia;Ariis;11818.971627230723;8;13;42.523799896240234;29.523799896240234
Goricizza caserme;Ariis;13474.341814387644;13;13;41.91107940673828;28.91107940673828
Codroipo ponte sp. 65;Ariis;11534.834950734448;18;13;37.40613555908203;24.40613555908203
Molino vecchio;Ariis;3041.944399841465;12;13;11.674541473388672;1.3254585266113281
Sivigliano;Ariis;2873.2556697189625;8;13;11.674541473388672;1.3254585266113281
Lestizza;Ariis;8839.672592041861;7;13;38.815711975097656;25.815711975097656
Villacaccia;Ariis;10562.463583574963;10;13;46.654701232910156;33.654701232910156
Rivolto;Ariis;10005.770325193658;7;13;37.384830474853516;24.384830474853516
Talmassons;Ariis;5956.5741659622245;9;13;25.050640106201172;12.050640106201172
Casello f.s.;Ariis;7748.1898578730625;11;13;2.4833574295043945;10.516642570495605
Casa longo;Ariis;7858.2394597990005;10;13;2.4833574295043945;10.516642570495605
Mortegliano;Ariis;10373.406343777175;9;13;42.066070556640625;29.066070556640625
Castions di strada;Ariis;8622.605199454614;15;13;20.14171028137207;7.14171028137207
Cormor paradiso;Ariis;5347.938902903221;12;13;11.960711479187012;1.0392885208129883
Sant'andrat del cormor;Ariis;6885.096727776576;21;13;22.43624496459961;9.43624496459961
Zavattina;Ariis;7365.3680832974005;8;13;6.220213413238525;6.779786586761475
Muzzana del turgnano ponte ss 14;Ariis;7340.236234307467;30;13;3.7311344146728516;9.268865585327148
Ponte ss 252 km 13;Ariis;7960.792572088872;17;13;26.271743774414062;13.271743774414062
Ponte ss 252 km 14;Ariis;8693.395641856887;17;13;26.311248779296875;13.311248779296875
Zellina;Ariis;8366.441790705678;6;13;5.650354385375977;7.349645614624023
Zellina ponte ferrovia;Ariis;8658.995001507456;20;13;5.650354385375977;7.349645614624023
Fauglis;Ariis;13631.205123766822;5;13;17.458444595336914;4.458444595336914
Chiarisacco;Ariis;10833.217883802856;8;13;4.510447978973389;8.489552021026611
San giorgio di nogaro;Ariis;10280.079074691854;18;13;5.442806243896484;7.557193756103516
San giorgio di nogaro cimitero;Ariis;10272.363429665189;27;13;4.7517523765563965;8.248247623443604
Planais;Ariis;16683.70938004104;5;13;-0.07753685861825943;13.07753685861826
Sevegliano;Ariis;16179.001889498477;9;13;16.583078384399414;3.583078384399414
Torviscosa case savoiano;Ariis;13325.25907286003;21;13;1.6187635660171509;11.38123643398285
Torviscosa molino;Ariis;15807.449240274595;14;13;3.627873420715332;9.372126579284668
Torviscosa ponte ferrovia;Ariis;16622.71536724874;22;13;2.5879039764404297;10.41209602355957
Tre ponti;Ariis;17712.755883577436;8;13;0.11979803442955017;12.88020196557045
Muscoli;Ariis;19419.886709443377;7;13;2.1789941787719727;10.821005821228027
Castions delle mure casali fabbrica;Ariis;17724.57346869956;32;13;1.4943509101867676;11.505649089813232
Torviscosa;Ariis;15860.974616904816;7;13;2.9870262145996094;10.01297378540039
Visco;Ariis;19969.592846393334;5;13;20.478994369506836;7.478994369506836
Belvat;Ariis;18066.074519959133;6;13;-1.075460433959961;14.075460433959961
Risano case moschioni;Ariis;17236.246715149566;20;13;62.54551315307617;49.54551315307617
Gris cuccana;Ariis;12947.934014541112;10;13;37.09934997558594;24.099349975585938
Palmanova;Ariis;16727.755838690176;9;13;26.880163192749023;13.880163192749023
Lauzacco;Ariis;18649.606503343322;8;13;55.54144287109375;42.54144287109375
Ialmicco sede protezione civile regionale;Ariis;19235.65166080833;38;13;26.88026237487793;13.88026237487793
Fraida;Ariis;15745.029097125658;4;13;-0.03847680613398552;13.038476806133986
Lame di precenicco;Ariis;18288.21086289169;16;13;0;13
Marano lagunare colomba;Ariis;13865.394436455574;22;13;0;13
Chievolis;Barcis;14216.281474580412;7;468;437.4690246582031;30.530975341796875
Valdestali;Barcis;14465.401013067434;8;468;461.7435302734375;6.2564697265625
Barcis ponte antoi;Barcis;641.4058611766943;12;468;470.39703369140625;2.39703369140625
Barcis bordo lago;Barcis;943.6155304154612;11;468;448.18267822265625;19.81732177734375
Barcis stazione forestale;Barcis;566.9700031629878;19;468;448.18267822265625;19.81732177734375
Andreis piazzola campeggio;Barcis;3227.1501085986874;23;468;462.1297912597656;5.870208740234375
Ravedis invaso;Barcis;7022.246443202671;11;468;462.9981689453125;5.0018310546875
Prapiero ponte svincolo gallerie;Barcis;2549.5228653451695;28;468;464.6763916015625;3.3236083984375
Campomolle;Bicinicco;18793.817044033804;10;33;7.805864334106445;25.194135665893555
Teor;Bicinicco;17348.640139049232;9;33;7.206847667694092;25.793152332305908
Flambruzzo;Bicinicco;14340.583112564656;9;33;11.445226669311523;21.554773330688477
Flambruzzo villa badoglio;Bicinicco;14124.608201942834;23;33;11.445226669311523;21.554773330688477
Case zoncolan;Bicinicco;13447.461919605677;11;33;10.054102897644043;22.945897102355957
Ariis;Bicinicco;13367.558118791076;7;33;10.054102897644043;22.945897102355957
Ariis cimitero;Bicinicco;13066.629429044919;9;33;9.479960441589355;23.520039558410645
Ariis parco;Bicinicco;13682.228480926642;8;33;10.054102897644043;22.945897102355957
Ariis centro e.t.p.;Bicinicco;13720.079613142927;16;33;10.054102897644043;22.945897102355957
Casali sacile;Bicinicco;14296.220629761821;11;33;7.9696431159973145;25.030356884002686
Casali petazzo;Bicinicco;12469.241496659492;12;33;7.9478759765625;25.0521240234375
Pocenia;Bicinicco;15783.06526629202;6;33;5.05306339263916;27.94693660736084
Case trevisan;Bicinicco;16718.489994585303;12;33;2.4833574295043945;30.516642570495605
Casali gambellini;Bicinicco;14588.590396301204;16;33;5.7831902503967285;27.21680974960327
Rivarotta;Bicinicco;17359.082475415566;8;33;2.0823349952697754;30.917665004730225
Pocenia zona industriale;Bicinicco;14505.455836770603;20;33;5.951496601104736;27.048503398895264
Palazzolo dello stella;Bicinicco;19001.78560909171;21;33;1.3652523756027222;31.634747624397278
Casa di guardia;Bicinicco;12287.834504663813;14;33;17.048948287963867;15.951051712036133
Zompicchia;Bicinicco;18939.657823628837;8;33;42.523799896240234;9.523799896240234
Codroipo ponte sp. 65;Bicinicco;19458.582137616035;19;33;37.40613555908203;4.406135559082031
Molino vecchio;Bicinicco;15599.993391428734;9;33;11.674541473388672;21.325458526611328
Sivigliano;Bicinicco;15409.257312750164;6;33;11.674541473388672;21.325458526611328
Lestizza;Bicinicco;8510.073408974296;8;33;38.815711975097656;5.815711975097656
Villacaccia;Bicinicco;14003.238813291935;8;33;46.654701232910156;13.654701232910156
Villaorba;Bicinicco;16114.19156426256;8;33;67.18202209472656;34.18202209472656
Rivolto;Bicinicco;17221.45426025011;7;33;37.384830474853516;4.384830474853516
Talmassons;Bicinicco;9644.969980164538;10;33;25.050640106201172;7.949359893798828
Pantianicco;Bicinicco;18246.99241724815;5;33;69.67994689941406;36.67994689941406
Casello f.s.;Bicinicco;17010.394522089682;12;33;2.4833574295043945;30.516642570495605
Casa longo;Bicinicco;17040.672134927267;9;33;2.4833574295043945;30.516642570495605
Pozzuolo del friuli;Bicinicco;7488.219205451973;18;33;64.30040740966797;31.30040740966797
Mortegliano;Bicinicco;5127.093139092168;9;33;42.066070556640625;9.066070556640625
Castions di strada;Bicinicco;4436.075943617817;15;33;20.14171028137207;12.85828971862793
Cormor paradiso;Bicinicco;8352.078211652663;14;33;11.960711479187012;21.03928852081299
Sant'andrat del cormor;Bicinicco;6275.178914228263;19;33;22.43624496459961;10.56375503540039
Zavattina;Bicinicco;12290.547597960067;9;33;6.220213413238525;26.779786586761475
Muzzana del turgnano ponte ss 14;Bicinicco;14988.4247768283;30;33;3.7311344146728516;29.26886558532715
Ponte ss 252 km 13;Bicinicco;5799.367154847817;18;33;26.271743774414062;6.7282562255859375
Ponte ss 252 km 14;Bicinicco;4533.233399996355;18;33;26.311248779296875;6.688751220703125
Zellina;Bicinicco;12184.249311150577;8;33;5.650354385375977;27.349645614624023
Zellina ponte ferrovia;Bicinicco;12430.715922936175;19;33;5.650354385375977;27.349645614624023
Fauglis;Bicinicco;4845.580038088328;8;33;17.458444595336914;15.541555404663086
Chiarisacco;Bicinicco;10203.79631823962;6;33;4.510447978973389;28.48955202102661
San giorgio di nogaro;Bicinicco;10267.381898488564;17;33;5.442806243896484;27.557193756103516
San giorgio di nogaro cimitero;Bicinicco;10693.366603196047;25;33;4.7517523765563965;28.248247623443604
Planais;Bicinicco;17346.152773207883;8;33;-0.07753685861825943;33.07753685861826
Sevegliano;Bicinicco;6502.266595388089;8;33;16.583078384399414;16.416921615600586
Torviscosa case savoiano;Bicinicco;11299.605263589978;20;33;1.6187635660171509;31.38123643398285
Torviscosa molino;Bicinicco;11581.252137742345;14;33;3.627873420715332;29.372126579284668
Torviscosa ponte ferrovia;Bicinicco;12083.737932436969;21;33;2.5879039764404297;30.41209602355957
Tre ponti;Bicinicco;12436.7105480843;9;33;0.11979803442955017;32.88020196557045
Muscoli;Bicinicco;12606.952097896185;8;33;2.1789941787719727;30.821005821228027
Muscoli via san zenone;Bicinicco;12965.994599946383;18;33;2.1789941787719727;30.821005821228027
Cervignano floricoltura vrech;Bicinicco;14274.945646108092;24;33;3.4289660453796387;29.57103395462036
Castions delle mure casali fabbrica;Bicinicco;11165.2183193362;31;33;1.4943509101867676;31.505649089813232
Torviscosa;Bicinicco;12541.781129455954;8;33;2.9870262145996094;30.01297378540039
Visco;Bicinicco;9164.308265466005;6;33;20.478994369506836;12.521005630493164
Belvat;Bicinicco;14740.461822818435;8;33;-1.075460433959961;34.07546043395996
Cervignano;Bicinicco;14777.15613130104;8;33;3.2710282802581787;29.72897171974182
Risano case moschioni;Bicinicco;6279.290056379369;16;33;62.54551315307617;29.545513153076172
Gris cuccana;Bicinicco;978.2721421969616;9;33;37.09934997558594;4.0993499755859375
Palmanova;Bicinicco;4967.852983350399;9;33;26.880163192749023;6.119836807250977
Trivignano udinese;Bicinicco;8070.400546139974;14;33;41.905914306640625;8.905914306640625
