yy;mm;dd;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
1991;3;8;NA;NA;NA;NA;NA;NA;7.8;NA;0.2;NA;NA;NA;NA;NA;NA;NA;0.8;5.8;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.8;NA;NA;NA;NA;NA;NA;2.8;NA;NA;0.2;NA;NA;NA;NA;NA;0.4;17
1991;3;9;NA;NA;NA;NA;NA;NA;34.2;NA;5.4;NA;NA;NA;NA;NA;NA;NA;6.8;11.8;NA;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20.6;NA;NA;NA;NA;NA;NA;19.6;NA;NA;13.8;NA;NA;NA;NA;NA;10.2;23
1991;3;10;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0.2;NA;NA;0;NA;NA;NA;NA;NA;0.2;0.2
1991;3;11;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;12;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;13;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;14;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;15;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;16;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;17;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;18;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;19;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;20;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
1991;3;21;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0.2;NA
1991;3;22;NA;NA;NA;NA;NA;NA;0.6;NA;3.4;NA;NA;NA;NA;NA;NA;NA;2;1.2;NA;0;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;1.4;NA;NA;NA;NA;NA;2;NA
1991;3;23;NA;NA;NA;NA;NA;NA;14.2;NA;16.8;NA;NA;NA;NA;NA;NA;NA;25.4;17;NA;9.2;NA;NA;10.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.4;NA;NA;NA;NA;NA;NA;13.4;NA;NA;13.6;NA;NA;NA;NA;NA;16.2;NA
1991;3;24;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;0;NA
